,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 25+ Year Treasury STRIPS Bond ETF
TREASURY STRIP (PRIN),Treasury,Fixed Income,"71,620,249.76",18.46,"71,620,249.76","125,357,500.00",912803FT5,US912803FT56,-,57.13,United States,-,USD,28.6,1.95,1.0,"Nov 15, 2050",0.0,28.32,-,1.95,28.32,1.95,USD,"Nov 16, 2020","Nov 16, 2020"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"49,695,120.38",12.81,"49,695,120.38","82,432,000.00",912803FA6,US912803FA65,BF5FZ32,60.29,United States,-,USD,25.63,1.97,1.0,"Nov 15, 2047",0.0,25.37,-,1.97,25.37,1.97,USD,"Nov 15, 2017","Nov 15, 2017"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"48,728,866.00",12.56,"48,728,866.00","82,878,000.00",912803FK4,US912803FK48,BJTH941,58.8,United States,-,USD,27.37,1.93,1.0,"Aug 15, 2049",0.0,27.1,-,1.93,27.1,1.93,USD,"Aug 15, 2019","Aug 15, 2019"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"46,398,178.50",11.96,"46,398,178.50","77,950,000.00",912803FG3,US912803FG36,-,59.52,United States,-,USD,26.87,1.92,1.0,"Feb 15, 2049",0.0,26.61,-,1.92,26.61,1.92,USD,"Feb 15, 2019","Feb 15, 2019"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"46,041,795.06",11.87,"46,041,795.06","76,771,000.00",912803FF5,US912803FF52,BG47HY1,59.97,United States,-,USD,26.62,1.91,1.0,"Nov 15, 2048",0.0,26.37,-,1.91,26.37,1.91,USD,"Nov 15, 2018","Nov 15, 2018"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"34,208,390.83",8.82,"34,208,390.83","56,421,000.00",912803EZ2,US912803EZ26,BD2BTM6,60.63,United States,-,USD,25.38,1.96,1.0,"Aug 15, 2047",0.0,25.13,-,1.96,25.13,1.96,USD,"Aug 15, 2017","Aug 15, 2017"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"32,995,540.75",8.5,"32,995,540.75","57,756,000.00",912803FV0,US912803FV03,-,57.13,United States,-,USD,28.85,1.93,1.0,"Feb 15, 2051",0.0,28.57,-,1.93,28.57,1.93,USD,"Feb 16, 2021","Feb 16, 2021"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"15,647,290.43",4.03,"15,647,290.43","26,703,000.00",912803FL2,US912803FL21,BKRQWR1,58.6,United States,-,USD,27.61,1.93,1.0,"Nov 15, 2049",0.0,27.34,-,1.93,27.34,1.93,USD,"Nov 15, 2019","Nov 15, 2019"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"15,336,700.26",3.95,"15,336,700.26","26,740,000.00",912803FR9,US912803FR90,BJL9M35,57.35,United States,-,USD,28.35,1.95,1.0,"Aug 15, 2050",0.0,28.07,-,1.95,28.07,1.95,USD,"Aug 17, 2020","Aug 17, 2020"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"14,028,640.90",3.62,"14,028,640.90","24,152,000.00",912803FM0,US912803FM04,BKPNTX9,58.08,United States,-,USD,27.86,1.94,1.0,"Feb 15, 2050",0.0,27.59,-,1.94,27.59,1.94,USD,"Feb 18, 2020","Feb 18, 2020"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"3,930,306.67",1.01,"3,930,306.67","6,634,000.00",912803FJ7,US912803FJ74,-,59.24,United States,-,USD,27.12,1.92,1.0,"May 15, 2049",0.0,26.85,-,1.92,26.85,1.92,USD,"May 15, 2019","May 15, 2019"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"3,650,264.03",0.94,"3,650,264.03","5,958,000.00",912803EV1,US912803EV12,BF52PW2,61.27,United States,-,USD,24.64,1.98,1.0,"Nov 15, 2046",0.0,24.39,-,1.98,24.39,1.98,USD,"Nov 15, 2016","Nov 15, 2016"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"3,435,680.53",0.89,"3,435,680.53","5,568,400.00",912803ET6,US912803ET65,BYQ76J3,61.7,United States,-,USD,24.14,1.99,1.0,"May 15, 2046",0.0,23.89,-,1.99,23.89,1.99,USD,"May 16, 2016","May 16, 2016"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"1,895,622.69",0.49,"1,895,622.69","3,101,000.00",912803EW9,US912803EW94,-,61.13,United States,-,USD,24.89,1.97,1.0,"Feb 15, 2047",0.0,24.64,-,1.97,24.64,1.97,USD,"Feb 15, 2017","Feb 15, 2017"
USD CASH,Cash and/or Derivatives,Cash,"149,488.36",0.04,"149,488.36","149,488.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"60,370.60",0.02,"60,370.60","100,000.00",912803FB4,US912803FB49,BF165M8,60.37,United States,-,USD,25.89,1.94,1.0,"Feb 15, 2048",0.0,25.63,-,1.94,25.63,1.94,USD,"Feb 15, 2018","Feb 15, 2018"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"60,258.00",0.02,"60,258.00","100,000.00",912803FD0,US912803FD05,BG0GXM2,60.26,United States,-,USD,26.12,1.93,1.0,"May 15, 2048",0.0,25.87,-,1.93,25.87,1.93,USD,"May 15, 2018","May 15, 2018"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"59,811.30",0.02,"59,811.30","100,000.00",912803FE8,US912803FE87,BFCBRB5,59.81,United States,-,USD,26.38,1.94,1.0,"Aug 15, 2048",0.0,26.12,-,1.94,26.12,1.94,USD,"Aug 15, 2018","Aug 15, 2018"
TREASURY STRIP (PRIN),Treasury,Fixed Income,"57,566.40",0.01,"57,566.40","100,000.00",912803FP3,US912803FP35,BMFV0N4,57.57,United States,-,USD,28.11,1.96,1.0,"May 15, 2050",0.0,27.83,-,1.96,27.83,1.96,USD,"May 15, 2020","May 15, 2020"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"20,000.00",0.01,"20,000.00","20,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
