,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2029 Term Corporate ETF
ABBVIE INC,Corporates,Fixed Income,"2,649,084.73",1.78,"2,649,084.73","2,464,000.00",00287YBX6,US00287YBX67,-,107.16,United States,-,USD,6.86,2.21,1.0,"Nov 21, 2029",3.2,6.97,-,2.18,6.77,2.18,USD,"May 21, 2020","Nov 17, 2020"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Corporates,Fixed Income,"2,171,560.91",1.46,"2,171,560.91","1,831,000.00",035240AQ3,US035240AQ30,BJ52100,116.52,Belgium,-,USD,5.86,2.21,1.0,"Jan 23, 2029",4.75,5.99,-,2.13,5.81,2.13,USD,"Jan 23, 2019","Jan 23, 2019"
VERIZON COMMUNICATIONS INC,Corporates,Fixed Income,"2,152,380.49",1.45,"2,152,380.49","1,913,000.00",92343VEU4,US92343VEU44,-,112.2,United States,-,USD,6.72,2.32,1.0,"Dec 03, 2029",4.02,6.84,-,2.27,6.65,2.27,USD,"Jun 03, 2019","Sep 10, 2019"
INTERNATIONAL BUSINESS MACHINES CO,Corporates,Fixed Income,"1,927,842.82",1.3,"1,927,842.82","1,765,000.00",459200KA8,US459200KA85,BK5CT14,108.78,United States,-,USD,6.52,2.2,1.0,"May 15, 2029",3.5,6.5,-,2.2,6.5,2.2,USD,"May 15, 2019","May 15, 2019"
BRISTOL-MYERS SQUIBB CO,Corporates,Fixed Income,"1,778,703.05",1.2,"1,778,703.05","1,603,000.00",110122CP1,US110122CP17,-,109.5,United States,-,USD,6.5,2.04,1.0,"Jul 26, 2029",3.4,6.63,-,2.0,6.43,2.0,USD,"Jan 26, 2020","Jul 15, 2020"
WELLS FARGO & COMPANY MTN,Corporates,Fixed Income,"1,758,557.39",1.18,"1,758,557.39","1,546,000.00",95000U2D4,US95000U2D40,BJ2KZB6,111.94,United States,-,USD,5.96,2.31,1.0,"Jan 24, 2029",4.15,6.08,-,2.25,5.9,2.25,USD,"Jan 24, 2019","Jan 24, 2019"
AT&T INC,Corporates,Fixed Income,"1,671,140.15",1.12,"1,671,140.15","1,465,000.00",00206RHJ4,US00206RHJ41,BGKCWJ0,112.62,United States,-,USD,6.02,2.42,1.0,"Mar 01, 2029",4.35,6.15,-,2.36,5.96,2.36,USD,"Feb 19, 2019","Feb 19, 2019"
FISERV INC,Corporates,Fixed Income,"1,471,268.60",0.99,"1,471,268.60","1,345,000.00",337738AU2,US337738AU25,BKF0BQ7,107.64,United States,-,USD,6.41,2.38,1.0,"Jul 01, 2029",3.5,6.52,-,2.35,6.32,2.35,USD,"Jun 24, 2019","Jun 24, 2019"
SUMITOMO MITSUI FINANCIAL GROUP IN,Corporates,Fixed Income,"1,456,748.33",0.98,"1,456,748.33","1,375,000.00",86562MBP4,US86562MBP41,BK63D81,104.55,Japan,-,USD,6.67,2.38,1.0,"Jul 16, 2029",3.04,6.65,-,2.38,6.65,2.38,USD,"Jul 16, 2019","Jul 16, 2019"
BROADCOM INC,Corporates,Fixed Income,"1,405,602.78",0.94,"1,405,602.78","1,222,000.00",11135FBA8,US11135FBA84,BKXB3J9,114.02,United States,-,USD,6.07,2.62,1.0,"Apr 15, 2029",4.75,6.19,-,2.56,6.01,2.56,USD,"Apr 15, 2020","Aug 07, 2020"
FOX CORP,Corporates,Fixed Income,"1,332,366.08",0.9,"1,332,366.08","1,144,000.00",35137LAH8,US35137LAH87,BJLV907,114.43,United States,-,USD,5.86,2.47,1.0,"Jan 25, 2029",4.71,5.99,-,2.4,5.81,2.4,USD,"Jan 25, 2020","Mar 30, 2020"
ALTRIA GROUP INC,Corporates,Fixed Income,"1,203,896.99",0.81,"1,203,896.99","1,048,000.00",02209SBD4,US02209SBD45,BFZ57Y7,113.05,United States,-,USD,5.9,2.77,1.0,"Feb 14, 2029",4.8,6.01,-,2.71,5.82,2.71,USD,"Feb 14, 2019","Feb 14, 2019"
CONOCOPHILLIPS CO,Corporates,Fixed Income,"1,154,308.39",0.78,"1,154,308.39","867,000.00",208251AE8,US208251AE82,5670055,131.67,United States,-,USD,5.94,2.22,1.0,"Apr 15, 2029",6.95,5.92,-,2.22,5.92,2.22,USD,"Apr 20, 1999","Apr 20, 1999"
HCA INC,Corporates,Fixed Income,"1,124,581.65",0.76,"1,124,581.65","1,017,000.00",404119BX6,US404119BX69,BKKDGV1,110.4,United States,-,USD,6.35,2.58,1.0,"Jun 15, 2029",4.13,6.46,-,2.54,6.27,2.54,USD,"Jun 12, 2019","Jun 12, 2019"
WALT DISNEY CO,Corporates,Fixed Income,"1,119,565.38",0.75,"1,119,565.38","1,117,000.00",254687FL5,US254687FL52,BKKKD11,99.56,United States,-,USD,6.96,2.06,1.0,"Sep 01, 2029",2.0,7.03,-,2.06,7.03,2.06,USD,"Sep 06, 2019","Sep 06, 2019"
PFIZER INC,Corporates,Fixed Income,"1,110,795.92",0.75,"1,110,795.92","997,000.00",717081ET6,US717081ET61,BJJD7R8,110.4,United States,-,USD,6.23,1.9,1.0,"Mar 15, 2029",3.45,6.37,-,1.85,6.17,1.85,USD,"Mar 11, 2019","Mar 11, 2019"
DELL INTERNATIONAL LLC,Corporates,Fixed Income,"1,060,659.36",0.71,"1,060,659.36","892,000.00",24703TAG1,US24703TAG13,-,117.58,United States,-,USD,6.3,2.76,1.0,"Oct 01, 2029",5.3,6.41,-,2.69,6.24,2.69,USD,"Apr 01, 2021","Jun 15, 2021"
MITSUBISHI UFJ FINANCIAL GROUP INC,Corporates,Fixed Income,"1,033,675.43",0.69,"1,033,675.43","965,000.00",606822BM5,US606822BM52,BKFH1S0,105.67,Japan,-,USD,6.64,2.37,1.0,"Jul 18, 2029",3.19,6.62,-,2.37,6.62,2.37,USD,"Jul 18, 2019","Jul 18, 2019"
MERCK & CO INC,Corporates,Fixed Income,"1,031,637.36",0.69,"1,031,637.36","936,000.00",58933YAX3,US58933YAX31,BJRH6C0,109.14,United States,-,USD,6.22,2.03,1.0,"Mar 07, 2029",3.4,6.35,-,1.98,6.15,1.98,USD,"Mar 07, 2019","Mar 07, 2019"
CVS HEALTH CORP,Corporates,Fixed Income,"1,026,554.84",0.69,"1,026,554.84","951,000.00",126650DG2,US126650DG21,BK5KKM6,106.72,United States,-,USD,6.59,2.28,1.0,"Aug 15, 2029",3.25,6.69,-,2.26,6.5,2.26,USD,"Aug 15, 2019","Aug 15, 2019"
SUZANO AUSTRIA GMBH,Corporates,Fixed Income,"1,013,465.70",0.68,"1,013,465.70","855,000.00",86964WAF9,US86964WAF95,BK777M4,115.78,Brazil,-,USD,5.62,3.46,1.0,"Jan 15, 2029",6.0,5.71,-,3.38,5.54,3.38,USD,"Jul 15, 2019","Aug 12, 2019"
AMERICAN TOWER CORPORATION,Corporates,Fixed Income,"1,011,708.77",0.68,"1,011,708.77","916,000.00",03027XAW0,US03027XAW02,BG0X453,109.01,United States,-,USD,6.46,2.49,1.0,"Aug 15, 2029",3.8,6.57,-,2.46,6.38,2.46,USD,"Jun 13, 2019","Jun 13, 2019"
INTEL CORPORATION,Corporates,Fixed Income,"991,853.98",0.67,"991,853.98","955,000.00",458140BH2,US458140BH27,-,103.55,United States,-,USD,7.03,1.96,1.0,"Nov 15, 2029",2.45,7.13,-,1.95,6.92,1.95,USD,"Nov 21, 2019","Nov 21, 2019"
ENERGY TRANSFER LP,Corporates,Fixed Income,"966,062.93",0.65,"966,062.93","832,000.00",29278NAG8,US29278NAG88,BJ2DPR1,115.01,United States,-,USD,5.99,2.95,1.0,"Apr 15, 2029",5.25,6.09,-,2.88,5.92,2.88,USD,"Jan 15, 2019","Jan 15, 2019"
PNC FINANCIAL SERVICES GROUP INC (,Corporates,Fixed Income,"960,005.48",0.65,"960,005.48","876,000.00",693475AW5,US693475AW59,BJDQJW2,108.94,United States,-,USD,6.34,2.12,1.0,"Apr 23, 2029",3.45,6.46,-,2.08,6.26,2.08,USD,"Apr 22, 2019","Apr 22, 2019"
HOME DEPOT INC,Corporates,Fixed Income,"950,796.89",0.64,"950,796.89","890,000.00",437076BY7,US437076BY77,BJKPFV3,106.7,United States,-,USD,6.58,1.98,1.0,"Jun 15, 2029",2.95,6.7,-,1.95,6.5,1.95,USD,"Jun 17, 2019","Jun 17, 2019"
APPLE INC,Corporates,Fixed Income,"923,579.34",0.62,"923,579.34","895,000.00",037833DP2,US037833DP29,BJDSXR1,102.52,United States,-,USD,6.92,1.85,1.0,"Sep 11, 2029",2.2,7.02,-,1.84,6.81,1.84,USD,"Sep 11, 2019","Sep 11, 2019"
PAYPAL HOLDINGS INC,Corporates,Fixed Income,"896,053.70",0.6,"896,053.70","844,000.00",70450YAE3,US70450YAE32,BKZCC60,105.46,United States,-,USD,6.81,2.08,1.0,"Oct 01, 2029",2.85,6.91,-,2.06,6.71,2.06,USD,"Sep 26, 2019","Sep 26, 2019"
MARSH & MCLENNAN COMPANIES INC,Corporates,Fixed Income,"893,458.09",0.6,"893,458.09","773,000.00",571748BG6,US571748BG65,BJ2NYK7,114.3,United States,-,USD,6.06,2.22,1.0,"Mar 15, 2029",4.38,6.19,-,2.15,6.01,2.15,USD,"Jan 15, 2019","Jan 15, 2019"
LOWES COMPANIES INC,Corporates,Fixed Income,"877,081.35",0.59,"877,081.35","793,000.00",548661DR5,US548661DR53,BH3TYV1,109.73,United States,-,USD,6.25,2.19,1.0,"Apr 05, 2029",3.65,6.37,-,2.15,6.18,2.15,USD,"Apr 05, 2019","Apr 05, 2019"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"867,609.19",0.58,"867,609.19","746,000.00",161175BR4,US161175BR49,BH420W2,115.04,United States,-,USD,5.98,2.75,1.0,"Mar 30, 2029",5.05,6.1,-,2.68,5.92,2.68,USD,"Jan 17, 2019","Jan 17, 2019"
VERIZON COMMUNICATIONS INC,Corporates,Fixed Income,"837,500.24",0.56,"837,500.24","744,000.00",92343VES9,US92343VES97,BJHN0G0,111.03,United States,-,USD,6.05,2.19,1.0,"Feb 08, 2029",3.88,6.17,-,2.14,5.98,2.14,USD,"Feb 08, 2019","Feb 08, 2019"
SHELL INTERNATIONAL FINANCE BV,Corporates,Fixed Income,"829,194.52",0.56,"829,194.52","807,000.00",822582CD2,US822582CD22,-,102.39,Netherlands,-,USD,7.03,2.04,1.0,"Nov 07, 2029",2.38,7.12,-,2.03,6.91,2.03,USD,"Nov 07, 2019","Nov 07, 2019"
GLOBAL PAYMENTS INC,Corporates,Fixed Income,"823,454.29",0.55,"823,454.29","781,000.00",37940XAB8,US37940XAB82,BK0WRZ9,104.23,United States,-,USD,6.6,2.59,1.0,"Aug 15, 2029",3.2,6.68,-,2.57,6.48,2.57,USD,"Aug 14, 2019","Aug 14, 2019"
LAM RESEARCH CORPORATION,Corporates,Fixed Income,"817,324.00",0.55,"817,324.00","721,000.00",512807AU2,US512807AU29,BFZ93F2,112.18,United States,-,USD,6.13,2.16,1.0,"Mar 15, 2029",4.0,6.26,-,2.11,6.07,2.11,USD,"Mar 04, 2019","Mar 04, 2019"
EQUINIX INC,Corporates,Fixed Income,"814,662.44",0.55,"814,662.44","772,000.00",29444UBE5,US29444UBE55,BKC9V23,105.14,United States,-,USD,6.86,2.48,1.0,"Nov 18, 2029",3.2,6.94,-,2.46,6.75,2.46,USD,"Nov 18, 2019","Nov 18, 2019"
TYSON FOODS INC,Corporates,Fixed Income,"800,452.44",0.54,"800,452.44","698,000.00",902494BK8,US902494BK88,BDVLC17,113.23,United States,-,USD,6.02,2.33,1.0,"Mar 01, 2029",4.35,6.15,-,2.27,5.97,2.27,USD,"Feb 19, 2019","Feb 19, 2019"
TOTAL CAPITAL INTERNATIONAL SA,Corporates,Fixed Income,"796,021.79",0.54,"796,021.79","723,000.00",89153VAQ2,US89153VAQ23,BHQ3T37,108.83,France,-,USD,6.17,2.11,1.0,"Feb 19, 2029",3.46,6.28,-,2.07,6.08,2.07,USD,"Feb 19, 2019","Feb 19, 2019"
ASTRAZENECA PLC,Corporates,Fixed Income,"792,458.41",0.53,"792,458.41","692,000.00",046353AT5,US046353AT52,BGHJW49,112.71,United Kingdom,-,USD,5.97,2.05,1.0,"Jan 17, 2029",4.0,6.11,-,1.99,5.92,1.99,USD,"Aug 17, 2018","Aug 17, 2018"
BROOKFIELD FINANCE INC,Corporates,Fixed Income,"786,958.50",0.53,"786,958.50","675,000.00",11271LAD4,US11271LAD47,BJ555V8,115.35,Canada,-,USD,6.01,2.52,1.0,"Mar 29, 2029",4.85,6.14,-,2.45,5.96,2.45,USD,"Jan 29, 2019","Jan 29, 2019"
ENTERPRISE PRODUCTS OPERATING LLC,Corporates,Fixed Income,"786,870.94",0.53,"786,870.94","731,000.00",29379VBV4,US29379VBV45,BHWTW63,106.34,United States,-,USD,6.58,2.21,1.0,"Jul 31, 2029",3.13,6.68,-,2.18,6.49,2.18,USD,"Jul 08, 2019","Jul 08, 2019"
COCA-COLA CO,Corporates,Fixed Income,"771,958.92",0.52,"771,958.92","754,000.00",191216CM0,US191216CM09,-,101.7,United States,-,USD,7.03,1.89,1.0,"Sep 06, 2029",2.13,7.02,-,1.89,7.02,1.89,USD,"Sep 06, 2019","Sep 06, 2019"
EXXON MOBIL CORP,Corporates,Fixed Income,"768,956.86",0.52,"768,956.86","742,000.00",30231GBE1,US30231GBE17,BJP2G49,102.72,United States,-,USD,6.79,2.05,1.0,"Aug 16, 2029",2.44,6.88,-,2.04,6.68,2.04,USD,"Aug 16, 2019","Aug 16, 2019"
UNION PACIFIC CORPORATION,Corporates,Fixed Income,"763,273.88",0.51,"763,273.88","681,000.00",907818FB9,US907818FB91,BJ6H4T4,110.85,United States,-,USD,6.15,2.06,1.0,"Mar 01, 2029",3.7,6.28,-,2.01,6.08,2.01,USD,"Feb 19, 2019","Feb 19, 2019"
DIAMONDBACK ENERGY INC,Corporates,Fixed Income,"762,713.53",0.51,"762,713.53","717,000.00",25278XAN9,US25278XAN93,BJR45B3,106.08,United States,-,USD,6.82,2.64,1.0,"Dec 01, 2029",3.5,6.91,-,2.62,6.71,2.62,USD,"Dec 05, 2019","Dec 05, 2019"
US BANCORP,Corporates,Fixed Income,"754,932.86",0.51,"754,932.86","706,000.00",91159HHW3,US91159HHW34,BK6YKB6,105.68,United States,-,USD,6.6,2.18,1.0,"Jul 30, 2029",3.0,6.71,-,2.16,6.51,2.16,USD,"Jul 29, 2019","Jul 29, 2019"
ELI LILLY AND COMPANY,Corporates,Fixed Income,"743,600.52",0.5,"743,600.52","671,000.00",532457BV9,US532457BV93,BJKQ1M9,109.83,United States,-,USD,6.25,1.91,1.0,"Mar 15, 2029",3.38,6.38,-,1.86,6.18,1.86,USD,"Feb 22, 2019","Feb 22, 2019"
DOW CHEMICAL COMPANY,Corporates,Fixed Income,"731,353.83",0.49,"731,353.83","539,000.00",260543BJ1,US260543BJ10,2518181,134.46,United States,-,USD,6.25,2.5,1.0,"Nov 01, 2029",7.38,6.23,-,2.5,6.23,2.5,USD,"Nov 01, 1999","Nov 09, 1999"
TARGET CORPORATION,Corporates,Fixed Income,"730,260.96",0.49,"730,260.96","659,000.00",87612EBH8,US87612EBH80,BJ0M5S1,110.1,United States,-,USD,6.33,1.89,1.0,"Apr 15, 2029",3.38,6.46,-,1.84,6.26,1.84,USD,"Mar 27, 2019","Mar 27, 2019"
NXP BV 144A,Corporates,Fixed Income,"726,809.61",0.49,"726,809.61","647,000.00",62954HAB4,US62954HAB42,BK64607,112.19,Netherlands,-,USD,6.32,2.5,1.0,"Jun 18, 2029",4.3,6.44,-,2.45,6.26,2.45,USD,"Jun 18, 2019","Jun 18, 2019"
CHARTER COMMUNICATIONS OPERATING L,Corporates,Fixed Income,"718,237.88",0.48,"718,237.88","730,000.00",161175CD4,US161175CD44,-,97.89,United States,-,USD,6.41,2.58,1.0,"Jan 15, 2029",2.25,6.43,-,2.58,6.43,2.58,USD,"Oct 12, 2021","Oct 12, 2021"
CSX CORP,Corporates,Fixed Income,"710,209.07",0.48,"710,209.07","621,000.00",126408HM8,US126408HM81,BH4QB54,113.11,United States,-,USD,6.08,2.27,1.0,"Mar 15, 2029",4.25,6.21,-,2.21,6.02,2.21,USD,"Nov 15, 2018","Nov 15, 2018"
GLAXOSMITHKLINE CAPITAL PLC,Corporates,Fixed Income,"708,544.26",0.48,"708,544.26","648,000.00",377373AH8,US377373AH85,BJ0M5L4,109.06,United Kingdom,-,USD,6.45,2.05,1.0,"Jun 01, 2029",3.38,6.58,-,2.01,6.38,2.01,USD,"Mar 25, 2019","Mar 25, 2019"
RELX CAPITAL INC,Corporates,Fixed Income,"706,358.80",0.47,"706,358.80","630,000.00",74949LAC6,US74949LAC63,BJ16XR7,110.98,United Kingdom,-,USD,6.14,2.34,1.0,"Mar 18, 2029",4.0,6.25,-,2.29,6.06,2.29,USD,"Mar 18, 2019","Mar 18, 2019"
MITSUBISHI UFJ FINANCIAL GROUP INC,Corporates,Fixed Income,"704,628.53",0.47,"704,628.53","636,000.00",606822BH6,US606822BH67,BJLRB98,109.61,Japan,-,USD,6.29,2.28,1.0,"Mar 07, 2029",3.74,6.27,-,2.28,6.27,2.28,USD,"Mar 07, 2019","Mar 07, 2019"
VALERO ENERGY CORPORATION,Corporates,Fixed Income,"699,458.85",0.47,"699,458.85","635,000.00",91913YAW0,US91913YAW03,BJ9J259,109.15,United States,-,USD,6.17,2.61,1.0,"Apr 01, 2029",4.0,6.27,-,2.56,6.08,2.56,USD,"Mar 25, 2019","Mar 25, 2019"
SIMON PROPERTY GROUP LP,Corporates,Fixed Income,"691,250.56",0.46,"691,250.56","676,000.00",828807DF1,US828807DF17,BJDSY78,101.52,United States,-,USD,6.86,2.23,1.0,"Sep 13, 2029",2.45,6.94,-,2.23,6.74,2.23,USD,"Sep 13, 2019","Sep 13, 2019"
PEPSICO INC,Corporates,Fixed Income,"679,706.43",0.46,"679,706.43","639,000.00",713448EL8,US713448EL82,BHKDDP3,105.26,United States,-,USD,6.69,1.88,1.0,"Jul 29, 2029",2.63,6.81,-,1.85,6.6,1.85,USD,"Jul 29, 2019","Jul 29, 2019"
BOSTON SCIENTIFIC CORPORATION,Corporates,Fixed Income,"674,984.00",0.45,"674,984.00","600,000.00",101137AX5,US101137AX52,BJ8J3M4,111.16,United States,-,USD,6.09,2.3,1.0,"Mar 01, 2029",4.0,6.21,-,2.25,6.02,2.25,USD,"Feb 25, 2019","Feb 25, 2019"
DIAGEO CAPITAL PLC,Corporates,Fixed Income,"673,594.01",0.45,"673,594.01","656,000.00",25243YBB4,US25243YBB48,BJXT2P5,102.24,United Kingdom,-,USD,6.99,2.06,1.0,"Oct 24, 2029",2.38,7.08,-,2.05,6.88,2.05,USD,"Oct 03, 2019","Oct 03, 2019"
HASBRO INC,Corporates,Fixed Income,"670,545.70",0.45,"670,545.70","605,000.00",418056AZ0,US418056AZ06,-,110.38,United States,-,USD,6.7,2.44,1.0,"Nov 19, 2029",3.9,6.81,-,2.4,6.62,2.4,USD,"Nov 19, 2019","Nov 19, 2019"
THERMO FISHER SCIENTIFIC INC,Corporates,Fixed Income,"669,530.91",0.45,"669,530.91","641,000.00",883556BZ4,US883556BZ47,-,103.8,United States,-,USD,6.87,2.07,1.0,"Oct 01, 2029",2.6,6.97,-,2.05,6.76,2.05,USD,"Oct 08, 2019","Oct 08, 2019"
CHENIERE CORPUS CHRISTI HOLDINGS L,Corporates,Fixed Income,"664,904.83",0.45,"664,904.83","618,000.00",16412XAJ4,US16412XAJ46,-,107.12,United States,-,USD,6.61,2.69,1.0,"Nov 15, 2029",3.7,6.82,-,2.63,6.45,2.63,USD,"May 15, 2020","Oct 23, 2020"
COMMONSPIRIT HEALTH,Corporates,Fixed Income,"663,962.61",0.45,"663,962.61","619,000.00",20268JAB9,US20268JAB98,BKLCY46,106.43,United States,-,USD,6.57,2.43,1.0,"Oct 01, 2029",3.35,6.79,-,2.38,6.4,2.38,USD,"Aug 21, 2019","Aug 21, 2019"
FEDEX CORP,Corporates,Fixed Income,"652,264.71",0.44,"652,264.71","609,000.00",31428XBV7,US31428XBV73,BK1XJY4,105.85,United States,-,USD,6.6,2.26,1.0,"Aug 05, 2029",3.1,6.7,-,2.23,6.5,2.23,USD,"Jul 24, 2019","Jul 24, 2019"
MCDONALDS CORPORATION MTN,Corporates,Fixed Income,"644,893.00",0.43,"644,893.00","620,000.00",58013MFJ8,US58013MFJ80,-,103.14,United States,-,USD,6.79,2.18,1.0,"Sep 01, 2029",2.63,6.87,-,2.16,6.67,2.16,USD,"Aug 12, 2019","Aug 12, 2019"
MASTERCARD INC,Corporates,Fixed Income,"638,309.06",0.43,"638,309.06","595,000.00",57636QAM6,US57636QAM69,BHTBRZ6,107.03,United States,-,USD,6.54,1.93,1.0,"Jun 01, 2029",2.95,6.67,-,1.9,6.46,1.9,USD,"May 31, 2019","May 31, 2019"
CHARLES SCHWAB CORPORATION (THE),Corporates,Fixed Income,"636,693.09",0.43,"636,693.09","590,000.00",808513BA2,US808513BA29,BJQW1S7,107.56,United States,-,USD,6.46,2.14,1.0,"May 22, 2029",3.25,6.57,-,2.1,6.37,2.1,USD,"May 22, 2019","May 22, 2019"
PERKINELMER INC,Corporates,Fixed Income,"631,128.70",0.42,"631,128.70","587,000.00",714046AG4,US714046AG46,-,106.55,United States,-,USD,6.66,2.37,1.0,"Sep 15, 2029",3.3,6.76,-,2.34,6.56,2.34,USD,"Sep 12, 2019","Sep 12, 2019"
UNITEDHEALTH GROUP INC,Corporates,Fixed Income,"616,677.76",0.41,"616,677.76","576,000.00",91324PDS8,US91324PDS83,BJMSS00,105.98,United States,-,USD,6.8,2.02,1.0,"Aug 15, 2029",2.88,6.79,-,2.02,6.79,2.02,USD,"Jul 25, 2019","Jul 25, 2019"
WRKCO INC,Corporates,Fixed Income,"615,739.60",0.41,"615,739.60","522,000.00",92940PAD6,US92940PAD69,BJHN0K4,116.52,United States,-,USD,5.97,2.39,1.0,"Mar 15, 2029",4.9,6.1,-,2.32,5.92,2.32,USD,"Dec 03, 2018","Feb 15, 2019"
DH EUROPE FINANCE II SARL,Corporates,Fixed Income,"607,459.32",0.41,"607,459.32","586,000.00",23291KAH8,US23291KAH86,BKTX8T4,103.34,United States,-,USD,6.99,2.14,1.0,"Nov 15, 2029",2.6,7.09,-,2.12,6.88,2.12,USD,"Nov 07, 2019","Nov 07, 2019"
MPLX LP,Corporates,Fixed Income,"605,580.88",0.41,"605,580.88","521,000.00",55336VAS9,US55336VAS97,BF5M0H2,114.42,United States,-,USD,5.9,2.57,1.0,"Feb 15, 2029",4.8,6.02,-,2.5,5.84,2.5,USD,"Nov 15, 2018","Nov 15, 2018"
CONSTELLATION BRANDS INC,Corporates,Fixed Income,"603,674.08",0.41,"603,674.08","565,500.00",21036PBE7,US21036PBE79,BK6S8N6,105.44,United States,-,USD,6.57,2.36,1.0,"Aug 01, 2029",3.15,6.67,-,2.34,6.47,2.34,USD,"Jul 29, 2019","Jul 29, 2019"
DIGITAL REALTY TRUST LP,Corporates,Fixed Income,"602,246.80",0.4,"602,246.80","545,000.00",25389JAU0,US25389JAU07,BKF20T9,108.7,United States,-,USD,6.39,2.33,1.0,"Jul 01, 2029",3.6,6.5,-,2.29,6.31,2.29,USD,"Jun 14, 2019","Jun 14, 2019"
