,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short Treasury Bond ETF
TREASURY BILL,Cash and/or Derivatives,Cash,"1,715,563,835.33",13.03,"1,715,563,835.33","1,715,756,000.00",912796N21,US912796N216,BNBYGW5,99.99,United States,-,USD,0.21,0.05,1.0,"Mar 17, 2022",0.0,0.21,-,0.05,0.21,0.05,USD,"Sep 16, 2021","Sep 16, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"1,322,926,803.66",10.05,"1,322,926,803.66","1,323,030,000.00",912796M97,US912796M978,BLHM447,99.99,United States,-,USD,0.19,0.04,1.0,"Mar 10, 2022",0.0,0.19,-,0.04,0.19,0.04,USD,"Sep 09, 2021","Sep 09, 2021"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"1,183,729,999.96",8.99,"1,183,729,999.96","1,183,730,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
TREASURY NOTE,Treasuries,Fixed Income,"1,138,821,865.19",8.65,"1,138,821,865.19","1,127,431,000.00",9128286U9,US9128286U98,BK1WFT8,100.72,United States,-,USD,0.37,0.19,1.0,"May 15, 2022",2.13,0.37,-,0.19,0.37,0.19,USD,"May 15, 2019","May 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"881,898,189.81",6.7,"881,898,189.81","867,850,000.00",9128287C8,US9128287C81,BJGR182,100.8,United States,-,USD,0.53,0.27,1.0,"Jul 15, 2022",1.75,0.54,-,0.27,0.54,0.27,USD,"Jul 15, 2019","Jul 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"806,442,424.24",6.12,"806,442,424.24","799,254,000.00",912828X47,US912828X471,BD2Z8K9,100.57,United States,-,USD,0.33,0.16,1.0,"Apr 30, 2022",1.88,0.33,-,0.16,0.33,0.16,USD,"Apr 30, 2017","May 01, 2017"
TREASURY BILL,Cash and/or Derivatives,Cash,"720,014,216.68",5.47,"720,014,216.68","720,280,000.00",912796H44,US912796H440,BMCXZ83,99.96,United States,-,USD,0.38,0.1,1.0,"May 19, 2022",0.0,0.39,-,0.1,0.39,0.1,USD,"May 20, 2021","May 20, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"704,924,901.22",5.35,"704,924,901.22","704,939,000.00",912796Q93,US912796Q938,BP48509,100.0,United States,-,USD,0.09,0.02,1.0,"Feb 01, 2022",0.0,0.09,-,0.02,0.09,0.02,USD,"Oct 05, 2021","Oct 05, 2021"
TREASURY NOTE,Treasuries,Fixed Income,"583,885,572.68",4.43,"583,885,572.68","579,161,000.00",912828XR6,US912828XR65,BDZZ3H8,100.65,United States,-,USD,0.41,0.18,1.0,"May 31, 2022",1.75,0.41,-,0.18,0.41,0.18,USD,"May 31, 2017","May 31, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"494,772,043.47",3.76,"494,772,043.47","490,129,000.00",912828XG0,US912828XG01,BZ56VG0,100.93,United States,-,USD,0.5,0.26,1.0,"Jun 30, 2022",2.13,0.5,-,0.26,0.5,0.26,USD,"Jun 30, 2015","Jun 30, 2015"
TREASURY BILL,Cash and/or Derivatives,Cash,"482,893,439.40",3.67,"482,893,439.40","482,920,000.00",912796S26,US912796S264,BLN7VD4,99.99,United States,-,USD,0.16,0.03,1.0,"Mar 01, 2022",0.0,0.17,-,0.03,0.17,0.03,USD,"Nov 02, 2021","Nov 02, 2021"
TREASURY NOTE,Treasuries,Fixed Income,"471,640,258.03",3.58,"471,640,258.03","465,825,000.00",9128285V8,US9128285V80,BJ7M2Q1,100.08,United States,-,USD,0.05,0.53,1.0,"Jan 15, 2022",2.5,0.04,-,0.53,0.04,0.53,USD,"Jan 15, 2019","Jan 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"471,482,584.92",3.58,"471,482,584.92","463,454,000.00",9128282P4,US9128282P40,BD36HC6,100.94,United States,-,USD,0.58,0.27,1.0,"Jul 31, 2022",1.88,0.58,-,0.27,0.58,0.27,USD,"Jul 31, 2017","Jul 31, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"461,477,765.93",3.5,"461,477,765.93","456,496,000.00",9128286M7,US9128286M72,BJRF884,100.6,United States,-,USD,0.3,0.18,1.0,"Apr 15, 2022",2.25,0.29,-,0.18,0.29,0.18,USD,"Apr 15, 2019","Apr 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"447,666,436.95",3.4,"447,666,436.95","440,436,000.00",9128282W9,US9128282W90,BYN94Z4,101.15,United States,-,USD,0.74,0.33,1.0,"Sep 30, 2022",1.88,0.74,-,0.33,0.74,0.33,USD,"Sep 30, 2017","Oct 02, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"322,190,056.93",2.45,"322,190,056.93","316,822,000.00",912828L24,US912828L245,BYXYL70,101.05,United States,-,USD,0.66,0.29,1.0,"Aug 31, 2022",1.88,0.66,-,0.29,0.66,0.29,USD,"Aug 31, 2015","Aug 31, 2015"
TREASURY NOTE,Treasuries,Fixed Income,"311,211,075.71",2.36,"311,211,075.71","307,804,000.00",912828YK0,US912828YK04,BJK6B30,100.8,United States,-,USD,0.79,0.35,1.0,"Oct 15, 2022",1.38,0.78,-,0.35,0.78,0.35,USD,"Oct 15, 2019","Oct 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"293,045,915.36",2.23,"293,045,915.36","293,950,000.00",91282CBD2,US91282CBD20,BNNXCJ9,99.69,United States,-,USD,1.0,0.44,1.0,"Dec 31, 2022",0.13,0.99,-,0.44,0.99,0.44,USD,"Dec 31, 2020","Dec 31, 2020"
TREASURY NOTE,Treasuries,Fixed Income,"231,169,596.42",1.76,"231,169,596.42","228,329,000.00",9128286C9,US9128286C90,BJ7G9D9,100.29,United States,-,USD,0.13,0.21,1.0,"Feb 15, 2022",2.5,0.12,-,0.21,0.12,0.21,USD,"Feb 15, 2019","Feb 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"230,726,799.68",1.75,"230,726,799.68","227,399,000.00",9128282S8,US9128282S88,BZ7PDQ9,100.9,United States,-,USD,0.66,0.26,1.0,"Aug 31, 2022",1.63,0.66,-,0.26,0.66,0.26,USD,"Aug 31, 2017","Aug 31, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"184,330,159.56",1.4,"184,330,159.56","184,515,000.00",91282CAN1,US91282CAN11,BMT6SG4,99.87,United States,-,USD,0.75,0.3,1.0,"Sep 30, 2022",0.13,0.75,-,0.3,0.75,0.3,USD,"Sep 30, 2020","Sep 30, 2020"
TREASURY NOTE,Treasuries,Fixed Income,"174,412,629.28",1.32,"174,412,629.28","171,495,000.00",9128283C2,US9128283C28,BF2K392,101.35,United States,-,USD,0.83,0.37,1.0,"Oct 31, 2022",2.0,0.83,-,0.37,0.83,0.37,USD,"Oct 31, 2017","Oct 31, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"140,218,723.38",1.06,"140,218,723.38","138,041,000.00",912828M49,US912828M490,BZ1JYD1,101.25,United States,-,USD,0.83,0.37,1.0,"Oct 31, 2022",1.88,0.83,-,0.37,0.83,0.37,USD,"Oct 31, 2015","Nov 02, 2015"
TREASURY NOTE,Treasuries,Fixed Income,"127,657,419.70",0.97,"127,657,419.70","127,712,000.00",91282CAG6,US91282CAG69,BMV9TW4,99.91,United States,-,USD,0.66,0.25,1.0,"Aug 31, 2022",0.13,0.66,-,0.25,0.66,0.25,USD,"Aug 31, 2020","Aug 31, 2020"
TREASURY NOTE,Treasuries,Fixed Income,"121,268,364.47",0.92,"121,268,364.47","119,449,000.00",912828L57,US912828L575,BYXJBX1,101.07,United States,-,USD,0.74,0.32,1.0,"Sep 30, 2022",1.75,0.74,-,0.32,0.74,0.32,USD,"Sep 30, 2015","Sep 30, 2015"
TREASURY NOTE,Treasuries,Fixed Income,"110,572,163.80",0.84,"110,572,163.80","109,569,000.00",912828W89,US912828W895,BD0N7Z3,100.43,United States,-,USD,0.25,0.15,1.0,"Mar 31, 2022",1.88,0.25,-,0.15,0.25,0.15,USD,"Mar 31, 2017","Mar 31, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"66,129,988.89",0.5,"66,129,988.89","65,519,000.00",912828V72,US912828V723,BDFFCZ9,100.14,United States,-,USD,0.08,0.24,1.0,"Jan 31, 2022",1.88,0.08,-,0.24,0.08,0.24,USD,"Jan 31, 2017","Jan 31, 2017"
TREASURY NOTE,Treasuries,Fixed Income,"61,006,626.30",0.46,"61,006,626.30","60,000,000.00",912828N30,US912828N308,BYV8NP6,101.66,United States,-,USD,0.99,0.45,1.0,"Dec 31, 2022",2.13,0.98,-,0.45,0.98,0.45,USD,"Dec 31, 2015","Dec 31, 2015"
TREASURY NOTE,Treasuries,Fixed Income,"40,914,174.14",0.31,"40,914,174.14","40,393,000.00",912828TY6,US912828TY62,B8P4ZL8,101.07,United States,-,USD,0.87,0.4,1.0,"Nov 15, 2022",1.63,0.87,-,0.4,0.87,0.4,USD,"Nov 15, 2012","Nov 15, 2012"
TREASURY NOTE,Treasuries,Fixed Income,"27,758,184.12",0.21,"27,758,184.12","27,390,000.00",912828YA2,US912828YA22,BK9DL95,100.77,United States,-,USD,0.62,0.27,1.0,"Aug 15, 2022",1.5,0.62,-,0.27,0.62,0.27,USD,"Aug 15, 2019","Aug 15, 2019"
TREASURY NOTE,Treasuries,Fixed Income,"5,733,429.32",0.04,"5,733,429.32","5,685,000.00",912828J43,US912828J439,BVYY5G5,100.26,United States,-,USD,0.16,0.14,1.0,"Feb 28, 2022",1.75,0.16,-,0.14,0.16,0.14,USD,"Feb 28, 2015","Mar 02, 2015"
TREASURY NOTE,Treasuries,Fixed Income,"4,749,077.87",0.04,"4,749,077.87","4,711,000.00",912828SV3,US912828SV33,B83QTP8,100.59,United States,-,USD,0.37,0.18,1.0,"May 15, 2022",1.75,0.37,-,0.18,0.37,0.18,USD,"May 15, 2012","May 15, 2012"
TREASURY NOTE,Treasuries,Fixed Income,"3,794,538.75",0.03,"3,794,538.75","3,766,000.00",912828XW5,US912828XW50,BF1TTC5,100.76,United States,-,USD,0.5,0.23,1.0,"Jun 30, 2022",1.75,0.5,-,0.23,0.5,0.23,USD,"Jun 30, 2017","Jun 30, 2017"
UNITED STATES TREASURY,Cash and/or Derivatives,Cash,"2,997,913.06",0.02,"2,997,913.06","2,998,000.00",912796R76,US912796R761,BLR7GZ7,100.0,United States,-,USD,0.11,0.03,1.0,"Feb 08, 2022",0.0,0.11,-,0.03,0.11,0.03,USD,"Oct 12, 2021","Oct 12, 2021"
TREASURY NOTE,Treasuries,Fixed Income,"2,342,752.90",0.02,"2,342,752.90","2,300,000.00",912828XQ8,US912828XQ82,BYVVV84,101.03,United States,-,USD,0.58,0.24,1.0,"Jul 31, 2022",2.0,0.58,-,0.24,0.58,0.24,USD,"Jul 31, 2015","Jul 31, 2015"
TREASURY NOTE,Treasuries,Fixed Income,"2,126,269.70",0.02,"2,126,269.70","2,108,000.00",912828XD7,US912828XD79,BY8L2B7,100.71,United States,-,USD,0.41,0.17,1.0,"May 31, 2022",1.88,0.41,-,0.17,0.41,0.17,USD,"May 31, 2015","Jun 01, 2015"
TREASURY BILL,Cash and/or Derivatives,Cash,"1,889,979.21",0.01,"1,889,979.21","1,890,000.00",912796Q85,US912796Q854,BNM3HV7,100.0,United States,-,USD,0.07,0.02,1.0,"Jan 25, 2022",0.0,0.07,-,0.02,0.07,0.02,USD,"Sep 28, 2021","Sep 28, 2021"
TREASURY NOTE,Treasuries,Fixed Income,"738,912.67",0.01,"738,912.67","740,000.00",91282CAR2,US91282CAR25,BMYVTS3,99.83,United States,-,USD,0.83,0.33,1.0,"Oct 31, 2022",0.13,0.83,-,0.33,0.83,0.33,USD,"Oct 31, 2020","Nov 02, 2020"
TREASURY BILL,Cash and/or Derivatives,Cash,"359,999.64",0.0,"359,999.64","360,000.00",912796Q69,US912796Q698,BMG8X80,100.0,United States,-,USD,0.03,0.0,1.0,"Jan 11, 2022",0.0,0.03,-,0.0,0.03,0.0,USD,"Sep 14, 2021","Sep 14, 2021"
TREASURY BILL,Cash and/or Derivatives,Cash,"15,999.90",0.0,"15,999.90","16,000.00",912796Q77,US912796Q771,-,100.0,United States,-,USD,0.05,0.01,1.0,"Jan 18, 2022",0.0,0.05,-,0.01,0.05,0.01,USD,"Sep 21, 2021","Sep 21, 2021"
USD CASH,Cash and/or Derivatives,Cash,"-1,188,405,896.23",-9.03,"-1,188,405,896.23","-1,188,405,896.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
