,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10-20 Year Treasury Bond ETF
TREASURY BOND,Treasuries,Fixed Income,"388,002,560.93",25.36,"388,002,560.93","389,234,000.00",912810SW9,US912810SW99,BN303J7,98.98,United States,-,USD,15.81,1.94,1.0,"Feb 15, 2041",1.88,15.87,-,1.94,15.87,1.94,USD,"Feb 15, 2021","Mar 01, 2021"
TREASURY BOND,Treasuries,Fixed Income,"297,195,410.40",19.43,"297,195,410.40","282,191,000.00",912810SY5,US912810SY55,BMCXZ94,105.03,United States,-,USD,15.64,1.94,1.0,"May 15, 2041",2.25,15.72,-,1.94,15.72,1.94,USD,"May 15, 2021","Jun 01, 2021"
TREASURY BOND,Treasuries,Fixed Income,"283,458,039.28",18.53,"283,458,039.28","202,575,600.00",912810QD3,US912810QD37,B59RHH2,139.37,United States,-,USD,13.22,1.79,1.0,"Nov 15, 2039",4.38,13.32,-,1.79,13.32,1.79,USD,"Nov 15, 2009","Nov 16, 2009"
TREASURY BOND,Treasuries,Fixed Income,"210,763,330.94",13.78,"210,763,330.94","230,828,000.00",912810ST6,US912810ST60,BNG0BM3,91.13,United States,-,USD,16.31,1.94,1.0,"Nov 15, 2040",1.38,16.37,-,1.94,16.37,1.94,USD,"Nov 15, 2020","Nov 30, 2020"
TREASURY BOND,Treasuries,Fixed Income,"179,221,675.62",11.72,"179,221,675.62","204,277,600.00",912810SQ2,US912810SQ22,BKVKF47,87.31,United States,-,USD,16.41,1.94,1.0,"Aug 15, 2040",1.13,16.46,-,1.94,16.46,1.94,USD,"Aug 15, 2020","Aug 31, 2020"
TREASURY BOND,Treasuries,Fixed Income,"52,555,348.02",3.44,"52,555,348.02","39,440,000.00",912810QK7,US912810QK79,B50PG34,131.8,United States,-,USD,13.82,1.85,1.0,"Aug 15, 2040",3.88,13.92,-,1.85,13.92,1.85,USD,"Aug 15, 2010","Aug 16, 2010"
TREASURY BOND,Treasuries,Fixed Income,"26,941,427.03",1.76,"26,941,427.03","19,573,600.00",912810QB7,US912810QB70,B41K8R9,137.1,United States,-,USD,13.01,1.76,1.0,"May 15, 2039",4.25,13.1,-,1.76,13.1,1.76,USD,"May 15, 2009","May 15, 2009"
TREASURY BOND,Treasuries,Fixed Income,"22,983,387.41",1.5,"22,983,387.41","15,811,000.00",912810QE1,US912810QE10,B3M3870,143.63,United States,-,USD,13.13,1.79,1.0,"Feb 15, 2040",4.63,13.23,-,1.79,13.23,1.79,USD,"Feb 15, 2010","Feb 16, 2010"
TREASURY BOND,Treasuries,Fixed Income,"20,814,866.79",1.36,"20,814,866.79","14,825,000.00",912810PX0,US912810PX00,B3CJB24,139.83,United States,-,USD,12.32,1.7,1.0,"May 15, 2038",4.5,12.41,-,1.7,12.41,1.7,USD,"May 15, 2008","Aug 15, 2008"
TREASURY BOND,Treasuries,Fixed Income,"18,139,746.45",1.19,"18,139,746.45","12,408,000.00",912810PU6,US912810PU60,B23Y8Q4,145.56,United States,-,USD,11.54,1.64,1.0,"May 15, 2037",5.0,11.62,-,1.64,11.62,1.64,USD,"May 15, 2007","Aug 15, 2007"
BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"13,580,000.02",0.89,"13,580,000.02","13,580,000.00",066922477,US0669224778,6922477,1.0,United States,-,USD,0.07,0.07,1.0,-,0.1,0.1,-,0.07,0.1,0.07,USD,-,"Feb 04, 2009"
USD CASH,Cash and/or Derivatives,Cash,"7,450,735.87",0.49,"7,450,735.87","7,450,736.00",-,-,-,100.0,United States,-,USD,0.0,0.1,1.0,-,0.0,0.0,-,0.1,0.0,0.1,USD,-,"Jan 01, 1989"
TREASURY BOND (OTR),Treasuries,Fixed Income,"4,055,789.75",0.27,"4,055,789.75","4,000,000.00",912810TC2,US912810TC27,BPBMDF5,101.14,United States,-,USD,16.24,1.93,1.0,"Nov 15, 2041",2.0,16.32,-,1.93,16.32,1.93,USD,"Nov 15, 2021","Nov 30, 2021"
TREASURY BOND,Treasuries,Fixed Income,"1,954,635.23",0.13,"1,954,635.23","1,401,800.00",912810PW2,US912810PW27,B2PKS37,137.8,United States,-,USD,12.15,1.69,1.0,"Feb 15, 2038",4.38,12.22,-,1.69,12.22,1.69,USD,"Feb 15, 2008","Feb 15, 2008"
TREASURY NOTE (OTR),Treasuries,Fixed Income,"1,740,800.58",0.11,"1,740,800.58","1,760,000.00",91282CDJ7,US91282CDJ71,BMCNFW7,98.73,United States,-,USD,9.18,1.51,1.0,"Nov 15, 2031",1.38,9.18,-,1.51,9.18,1.51,USD,"Nov 15, 2021","Nov 15, 2021"
TREASURY STRIP (INT),Treasuries,Fixed Income,"558,776.35",0.04,"558,776.35","736,000.00",9128337E4,US9128337E48,B1XFKP3,75.92,United States,-,USD,14.49,1.89,1.0,"Aug 15, 2036",0.0,14.35,-,1.89,14.35,1.89,USD,"Feb 15, 2007","Feb 15, 2007"
TREASURY NOTE (OLD),Treasuries,Fixed Income,"295,685.39",0.02,"295,685.39","301,000.00",91282CCS8,US91282CCS89,BMWVP09,97.77,United States,-,USD,8.97,1.5,1.0,"Aug 15, 2031",1.25,8.98,-,1.5,8.98,1.5,USD,"Aug 15, 2021","Aug 16, 2021"
TREASURY BOND,Treasuries,Fixed Income,"37,342.51",0.0,"37,342.51","26,000.00",912810PT9,US912810PT97,B1RDG66,141.84,United States,-,USD,11.41,1.62,1.0,"Feb 15, 2037",4.75,11.48,-,1.62,11.48,1.62,USD,"Feb 15, 2007","Feb 15, 2007"
TREASURY STRIP (INT),Treasuries,Fixed Income,"9,687.26",0.0,"9,687.26","13,000.00",912833Y46,US912833Y461,B2RG877,74.52,United States,-,USD,15.23,1.92,1.0,"May 15, 2037",0.0,15.08,-,1.92,15.08,1.92,USD,"Aug 15, 2007","Aug 15, 2007"
